Year,January,February,March,April,May,June,July,August,September,October,November,December
2005,"86,853","94,889","120,581","100,852","104,899","103,402","117,674","103,310","102,593","81,571","86,107","100,926"
2006,"83,360","92,217","113,345","97,561","98,488","85,158","96,910","100,802","98,627","84,383","85,271","101,685"
2007,"92,024","94,944","123,655","83,171","106,713","105,226","98,224","108,545","106,370","94,227","88,667","95,459"
2008,"85,831","95,325","117,671","84,733","111,304","83,342","101,045","117,693","66,943","64,522","51,701","66,681"
2009,"58,614","58,733","71,254","51,109","71,841","62,660","76,694","112,125","60,105","63,982","59,213","76,761"
2010,"66,742","74,208","100,902","67,701","88,501","68,768","87,985","81,120","79,166","74,884","75,672","98,604"
2011,"77,561","99,263","128,701","79,607","83,716","80,239","92,573","99,526","98,767","86,724","88,913","105,959"
2012,"84,024","222,934","143,477","76,609","97,369","97,648","102,565","102,764","97,443","83,666","99,771","103,403"
2013,"85,578","105,687","143,012","92,308","119,172","109,421","114,271","125,779","90,869","95,770","112,599","116,181"
2014,"95,337","121,337","158,132","110,476","143,203","115,664","127,801","141,174","108,513","109,316","109,721","124,133"
2015,"110,600","125,969","154,849","118,064","144,354","132,191","139,913","141,640","129,338","123,473","113,855","147,187"
2016,"112,998","139,081","174,637","133,535","142,521","148,576","140,365","131,900","134,739","121,157","122,032","160,126"
2017,"118,776","146,664","180,598","130,373","146,900","150,953","136,320","116,490","148,362","130,393","144,594","146,727"
2018,"132,018","142,903","176,854","95,754","144,248","156,245","118,742","120,792","130,524","117,964","118,201","157,706"
2019,"109,452","128,102","170,367","102,661","141,733","135,821","107,493","135,369","108,966","110,935","101,135","114,696"
2020,"94,296","123,865","75,006","36,256","74,864","78,491","86,262","76,678","101,039","87,004","71,458","99,432"
2021,"100,410","100,410","112,963","109,165","104,967","109,165",0,0,0,0,0,0
